group,variable,value
A,v2,4
A,v4,6
A,v1,3
A,v5,5
A,v7,3
A,v6,7
A,v3,7
B,v1,2
A,v10,7
A,v9,2
B,v4,0
B,v3,0
B,v5,2
A,v8,1
B,v2,2
B,v8,1
B,v9,5
B,v10,0
B,v7,1
B,v6,0
C,v3,0
C,v5,4
C,v6,6
C,v2,3
C,v7,4
C,v8,13
C,v4,1
C,v10,3
C,v1,1
C,v9,4
D,v3,4
D,v2,4
D,v6,4
D,v5,1
D,v4,6
D,v7,2
D,v9,7
D,v10,7
D,v8,2
D,v1,3
E,v3,1
E,v1,1
E,v5,0
E,v4,3
E,v2,0
E,v6,0
E,v8,1
E,v10,0
F,v1,0
E,v9,0
F,v3,0
F,v4,3
F,v5,3
F,v2,2
E,v7,0
F,v7,0
F,v9,0
F,v10,0
G,v1,0
G,v2,1
F,v8,1
G,v4,1
G,v5,1
F,v6,2
G,v7,3
G,v6,0
G,v9,0
G,v8,1
G,v10,0
G,v3,3
H,v2,0
H,v4,2
H,v1,1
H,v6,0
H,v7,0
H,v5,0
H,v9,0
H,v10,0
H,v8,0
I,v1,0
H,v3,1
I,v2,0
I,v3,4
I,v6,0
I,v4,0
I,v8,0
I,v10,0
I,v5,1
J,v1,0
I,v9,0
J,v3,0
J,v2,0
I,v7,0
J,v6,2
J,v4,1
J,v5,2
J,v7,0
J,v9,1
J,v10,2
J,v8,1
K,v1,2
K,v3,
K,v2,4
