group,variable,value
A,v1,3
A,v5,5
A,v2,0
A,v4,0
A,v3,2
A,v7,6
A,v9,2
A,v10,3
A,v6,7
B,v1,5
B,v3,2
B,v5,1
B,v4,1
A,v8,7
B,v7,4
B,v8,1
B,v9,0
B,v10,0
B,v2,2
C,v1,1
B,v6,2
C,v3,2
C,v4,1
C,v6,1
C,v7,2
C,v5,0
C,v8,2
C,v10,5
C,v9,1
D,v2,3
C,v2,0
D,v4,4
D,v5,3
D,v1,3
D,v6,2
D,v8,4
D,v9,4
D,v10,4
D,v3,1
D,v7,1
E,v3,3
E,v4,5
E,v5,11
E,v6,2
E,v8,7
E,v2,1
E,v7,5
E,v10,3
E,v1,5
E,v9,5
F,v3,8
F,v2,2
F,v5,4
F,v6,1
F,v7,2
F,v8,0
F,v4,6
F,v10,1
G,v1,0
G,v2,1
G,v3,3
F,v9,0
G,v5,1
G,v4,0
G,v7,1
G,v8,1
F,v1,7
G,v9,1
G,v10,1
H,v2,0
H,v1,0
H,v3,5
H,v4,1
G,v6,0
H,v7,0
H,v8,0
H,v5,1
H,v10,1
H,v6,1
H,v9,5
I,v2,0
I,v3,0
I,v1,1
I,v5,0
I,v4,0
I,v6,0
I,v7,0
I,v9,
I,v8,0
