group,variable,value
A,v1,0
A,v2,1
A,v4,2
A,v3,1
A,v6,1
A,v7,5
A,v5,2
A,v10,0
B,v1,1
B,v2,0
B,v3,1
B,v4,0
B,v5,0
B,v6,0
A,v9,0
B,v8,1
B,v9,1
B,v10,0
A,v8,2
C,v1,2
C,v4,0
C,v2,0
C,v5,2
B,v7,0
C,v7,5
C,v8,4
C,v3,1
C,v10,6
C,v9,5
D,v1,3
C,v6,2
D,v4,2
D,v5,2
D,v7,2
D,v3,2
D,v6,6
D,v9,6
D,v10,5
E,v1,4
D,v2,3
D,v8,9
E,v3,0
E,v4,0
E,v5,0
E,v2,2
E,v7,4
E,v6,2
E,v10,5
F,v1,0
E,v8,5
F,v3,5
F,v5,5
F,v4,9
E,v9,7
F,v8,11
F,v7,13
F,v6,2
F,v10,7
F,v2,0
G,v1,6
G,v3,0
G,v4,3
G,v5,1
F,v9,6
G,v6,0
G,v7,0
G,v9,0
G,v10,3
G,v2,1
H,v2,7
G,v8,0
H,v4,5
H,v5,6
H,v1,3
H,v3,4
H,v6,0
H,v9,1
H,v8,1
H,v10,0
I,v2,1
I,v3,0
I,v1,0
I,v4,0
I,v5,2
I,v6,7
H,v7,3
I,v8,5
I,v9,4
I,v10,6
J,v1,4
I,v7,5
J,v4,6
J,v3,6
J,v6,2
J,v2,5
J,v8,3
J,v5,3
J,v10,
J,v7,3
J,v9,1
