group,variable,value
A,v1,25
A,v3,24
A,v2,25
A,v4,70
A,v6,29
A,v8,167
A,v5,38
A,v9,26
A,v10,22
A,v7,20
B,v1,23
B,v3,24
B,v2,31
B,v4,28
B,v6,42
B,v8,28
B,v5,28
B,v10,31
C,v1,28
C,v2,33
B,v9,22
C,v4,131
C,v5,17
C,v7,36
C,v3,27
C,v6,23
C,v9,50
D,v1,46
C,v10,32
C,v8,30
D,v2,20
D,v4,22
D,v6,54
D,v3,37
B,v7,34
D,v8,23
D,v9,22
D,v10,34
D,v5,51
E,v2,30
E,v3,26
E,v4,39
E,v1,29
E,v5,31
D,v7,25
E,v7,20
E,v9,35
E,v10,25
F,v1,30
F,v3,26
F,v2,32
E,v8,46
F,v4,21
F,v5,21
E,v6,29
F,v8,22
F,v9,24
F,v7,35
F,v10,18
G,v2,30
G,v3,48
G,v1,45
G,v4,23
G,v5,34
G,v6,20
G,v7,25
G,v9,49
G,v10,25
G,v8,22
F,v6,17
H,v2,39
H,v3,29
H,v1,29
H,v5,22
H,v7,19
H,v8,35
H,v10,24
H,v4,24
H,v6,37
I,v3,17
I,v2,23
H,v9,22
I,v5,38
I,v6,20
I,v4,20
I,v1,25
I,v8,28
I,v9,20
I,v7,33
J,v1,23
I,v10,30
J,v4,22
J,v3,31
J,v5,29
J,v6,22
J,v8,22
J,v2,20
J,v9,21
J,v10,51
K,v2,27
J,v7,24
K,v1,20
K,v4,27
K,v5,20
K,v3,19
K,v7,31
K,v8,36
K,v10,23
K,v6,33
L,v2,28
L,v3,34
K,v9,38
L,v4,22
L,v6,26
L,v5,18
L,v7,25
L,v10,31
L,v8,24
M,v2,27
L,v9,16
M,v1,30
M,v4,26
M,v3,22
L,v1,21
M,v5,28
M,v6,25
M,v9,24
M,v8,17
M,v10,21
M,v7,30
N,v3,27
N,v1,22
N,v6,26
N,v4,30
N,v5,21
N,v7,22
N,v8,44
N,v10,36
N,v2,30
O,v1,21
O,v2,26
O,v3,23
O,v6,30
N,v9,26
O,v5,46
O,v4,82
O,v8,18
O,v7,35
O,v9,37
O,v10,32
P,v1,21
P,v3,25
P,v5,24
P,v4,32
P,v6,39
P,v7,27
P,v8,31
P,v10,23
P,v9,26
P,v2,33
R,v3,30
R,v2,33
R,v5,36
R,v4,21
R,v7,78
R,v1,36
R,v6,32
R,v8,13
R,v10,34
undefined,v1,42
R,v9,19
undefined,v2,18
undefined,v5,21
undefined,v4,46
undefined,v3,31
undefined,v7,22
undefined,v8,35
undefined,v9,38
undefined,v1,37
undefined,v6,22
undefined,v10,22
undefined,v3,28
undefined,v4,15
undefined,v5,33
undefined,v7,24
undefined,v6,27
undefined,v2,27
undefined,v9,23
undefined,v10,31
undefined,v2,36
undefined,v1,19
undefined,v3,27
undefined,v8,21
undefined,v5,19
undefined,v6,18
undefined,v4,26
undefined,v8,29
undefined,v9,43
undefined,v10,21
undefined,v7,23
undefined,v1,24
undefined,v3,31
undefined,v4,21
undefined,v6,24
undefined,v2,24
undefined,v7,27
undefined,v8,23
undefined,v10,24
undefined,v5,32
undefined,v9,38
undefined,v1,25
undefined,v3,31
undefined,v2,25
undefined,v6,34
undefined,v4,37
undefined,v5,24
undefined,v8,19
undefined,v7,26
undefined,v10,26
undefined,v9,19
undefined,v1,24
undefined,v2,20
undefined,v3,28
undefined,v5,31
undefined,v6,31
undefined,v7,17
undefined,v8,27
undefined,v10,32
undefined,v9,27
undefined,v1,30
undefined,v3,149
undefined,v4,27
undefined,v4,24
undefined,v5,22
undefined,v6,30
undefined,v7,33
undefined,v8,36
undefined,v10,113
undefined,v9,21
undefined,v1,32
undefined,v2,44
undefined,v3,26
undefined,v4,33
undefined,v2,24
undefined,v6,25
undefined,v7,21
undefined,v8,28
undefined,v9,23
undefined,v5,37
undefined,v10,35
undefined,v1,18
undefined,v3,32
undefined,v4,18
undefined,v2,34
undefined,v5,21
undefined,v9,18
undefined,v6,22
undefined,v8,18
undefined,v10,21
undefined,v7,20
undefined,v3,29
undefined,v1,40
undefined,v4,20
undefined,v5,26
undefined,v2,25
undefined,v7,26
undefined,v6,18
undefined,v10,25
undefined,v9,20
undefined,v2,23
undefined,v3,31
undefined,v4,35
undefined,v5,27
undefined,v8,38
