group,variable,value
A,v1,36
A,v3,23
A,v5,19
A,v6,39
A,v4,20
A,v2,18
A,v9,20
A,v10,23
A,v7,20
A,v8,18
B,v3,19
B,v2,41
B,v5,27
B,v6,29
B,v4,25
B,v1,20
B,v9,20
B,v10,24
B,v8,39
C,v2,40
B,v7,24
C,v3,21
C,v1,20
C,v4,35
C,v7,32
C,v8,55
C,v5,28
C,v10,16
D,v1,46
D,v2,24
C,v6,25
C,v9,30
D,v3,22
D,v6,24
D,v4,23
D,v8,29
D,v7,23
D,v10,20
E,v1,26
E,v2,25
D,v9,21
E,v3,24
E,v5,20
E,v6,28
E,v4,38
D,v5,28
E,v8,35
E,v10,34
F,v1,54
F,v2,18
E,v7,33
F,v4,33
F,v3,33
F,v5,39
F,v6,44
E,v9,38
F,v8,32
F,v10,38
F,v7,22
G,v1,35
G,v2,25
G,v4,76
G,v5,26
G,v3,24
F,v9,43
G,v8,51
G,v9,41
G,v10,41
G,v7,34
H,v1,22
H,v3,27
H,v2,29
G,v6,31
H,v6,38
H,v7,31
H,v8,18
H,v4,49
H,v10,20
H,v9,59
H,v5,28
I,v4,23
I,v3,24
I,v2,39
I,v1,37
I,v8,36
I,v9,31
I,v5,28
I,v6,32
I,v7,51
J,v1,26
I,v10,28
J,v3,19
J,v4,29
J,v2,40
J,v7,46
J,v8,34
J,v5,49
J,v6,17
J,v9,22
J,v10,24
K,v1,
