group,variable,value
A,v2,0
A,v3,0
A,v1,0
A,v5,0
A,v6,3
A,v4,0
A,v9,0
A,v7,0
A,v10,0
B,v1,0
A,v8,0
B,v4,0
B,v5,0
B,v6,0
B,v3,2
B,v2,1
B,v9,0
B,v10,1
C,v1,0
B,v7,0
C,v3,0
C,v4,0
C,v5,0
C,v6,0
B,v8,0
C,v7,3
C,v8,0
C,v10,1
D,v1,0
C,v2,0
C,v9,0
D,v3,0
D,v4,0
D,v6,0
D,v5,1
D,v8,1
D,v9,0
D,v2,3
D,v10,1
E,v2,2
E,v1,1
E,v3,0
E,v4,2
E,v6,1
E,v7,4
E,v8,1
E,v9,2
E,v10,5
E,v5,0
F,v1,11
F,v2,6
D,v7,0
F,v4,2
F,v6,5
F,v3,1
F,v5,7
F,v7,3
F,v10,0
F,v9,2
G,v1,3
G,v2,1
G,v4,0
G,v3,1
G,v5,2
G,v8,1
G,v7,1
G,v6,1
G,v10,1
H,v1,7
H,v3,8
H,v2,10
G,v9,0
H,v4,8
H,v6,3
F,v8,1
H,v7,7
H,v9,1
H,v5,7
H,v10,2
H,v8,6
I,v2,0
I,v4,0
I,v1,1
I,v3,0
I,v6,3
I,v5,2
I,v9,0
I,v7,2
J,v1,0
I,v10,2
J,v2,0
I,v8,4
J,v5,0
J,v4,2
J,v7,0
J,v3,6
J,v9,1
J,v6,2
J,v8,0
J,v10,3
K,v1,6
K,v2,1
K,v4,3
K,v5,1
K,v6,1
K,v8,1
K,v3,1
K,v9,1
L,v1,0
K,v10,0
L,v3,3
L,v2,0
K,v7,2
L,v5,0
L,v7,6
L,v4,4
L,v8,0
L,v10,6
M,v2,2
M,v1,3
L,v9,3
M,v3,3
M,v6,1
M,v5,1
M,v4,0
L,v6,3
M,v9,5
M,v10,0
M,v7,0
N,v2,1
M,v8,0
N,v5,2
N,v4,2
N,v6,5
N,v3,7
N,v8,2
N,v1,1
N,v7,4
N,v10,0
N,v9,2
O,v1,4
O,v2,0
O,v4,2
O,v3,1
O,v5,3
O,v7,0
O,v8,0
O,v10,2
O,v6,1
O,v9,1
P,v3,2
P,v2,0
P,v1,6
P,v4,
