group,variable,value
A,v1,30
A,v3,21
A,v2,38
A,v4,35
A,v7,25
A,v8,30
A,v6,20
A,v10,22
B,v1,41
B,v2,45
A,v5,40
B,v4,50
B,v3,28
B,v5,49
B,v8,25
A,v9,32
B,v9,152
B,v10,40
C,v1,38
B,v6,31
B,v7,48
C,v4,46
C,v5,33
C,v2,40
C,v3,36
C,v8,25
C,v9,28
C,v6,22
C,v10,24
D,v2,31
D,v3,31
D,v4,27
D,v5,46
D,v7,34
D,v1,36
D,v6,47
D,v9,32
D,v10,30
D,v8,36
E,v1,23
E,v2,32
E,v3,27
E,v5,20
E,v6,28
C,v7,26
E,v4,37
E,v7,60
E,v10,29
F,v1,37
E,v8,32
F,v2,18
F,v3,22
F,v6,17
F,v4,24
F,v5,28
F,v8,42
E,v9,32
F,v10,18
G,v1,34
G,v2,44
F,v7,24
G,v3,66
G,v5,48
G,v6,28
F,v9,49
G,v7,26
G,v9,24
G,v4,60
G,v10,25
H,v2,23
H,v3,48
H,v4,27
H,v1,21
H,v6,17
G,v8,24
H,v5,31
H,v7,25
H,v10,38
I,v1,44
H,v9,19
I,v2,52
I,v3,82
I,v4,24
H,v8,44
I,v6,19
I,v7,19
I,v5,26
I,v10,
I,v8,20
I,v9,29
