group,variable,value
A,v1,32
A,v2,66
A,v5,42
A,v6,42
A,v3,24
A,v4,28
A,v9,30
A,v7,38
A,v10,29
A,v8,19
B,v3,22
B,v1,36
B,v5,50
B,v4,21
B,v6,40
B,v2,43
B,v9,27
B,v7,34
B,v10,32
C,v1,22
C,v3,31
C,v4,24
B,v8,33
C,v2,48
C,v7,41
C,v8,28
C,v5,25
C,v10,18
D,v1,32
D,v2,35
C,v9,26
C,v6,25
D,v5,30
D,v6,28
D,v4,27
D,v7,27
D,v9,21
D,v10,32
E,v1,48
E,v3,32
D,v3,38
E,v4,52
E,v5,27
D,v8,30
E,v2,40
E,v9,38
E,v8,18
E,v10,30
E,v6,28
E,v7,26
F,v2,34
F,v4,26
F,v3,44
F,v5,31
F,v7,26
F,v6,36
F,v9,22
F,v10,41
G,v1,20
G,v2,22
F,v1,33
F,v8,24
G,v3,86
G,v4,82
G,v5,
