group,variable,value
A,v1,20
A,v4,29
A,v2,17
A,v3,29
A,v5,23
A,v7,38
A,v6,32
A,v10,40
B,v1,26
A,v8,24
B,v2,35
B,v4,22
B,v5,23
B,v3,25
B,v6,24
B,v8,20
B,v10,22
A,v9,20
C,v1,41
B,v9,50
C,v2,21
C,v4,38
C,v5,15
C,v6,20
C,v7,24
C,v8,44
C,v3,17
C,v10,18
D,v1,36
C,v9,28
D,v3,30
D,v4,30
B,v7,29
D,v5,30
D,v6,17
D,v8,41
D,v2,18
D,v10,26
D,v7,18
E,v2,29
E,v3,21
E,v1,17
E,v5,22
E,v6,35
E,v4,17
D,v9,20
E,v9,32
E,v10,27
E,v7,23
E,v8,25
F,v1,40
F,v2,26
F,v4,16
F,v5,30
F,v7,29
F,v8,30
F,v9,41
F,v10,21
F,v3,28
G,v1,39
G,v2,33
G,v3,24
F,v6,19
G,v4,20
G,v7,24
G,v8,33
G,v6,32
G,v10,28
H,v2,24
G,v5,35
H,v4,28
G,v9,23
H,v5,31
H,v6,18
H,v3,21
H,v1,36
H,v9,37
H,v10,47
H,v8,28
H,v7,21
I,v1,26
I,v4,24
I,v2,19
I,v5,16
I,v8,23
I,v6,30
I,v3,23
I,v7,16
I,v9,21
J,v1,43
I,v10,29
J,v4,22
J,v2,22
J,v6,42
J,v5,17
J,v8,38
J,v3,26
J,v7,128
K,v1,22
J,v10,38
K,v3,24
J,v9,23
K,v5,24
K,v6,25
K,v7,18
K,v8,35
K,v4,30
K,v9,34
K,v10,46
L,v2,25
K,v2,30
L,v1,28
L,v3,29
L,v4,31
L,v7,20
L,v8,21
L,v6,21
L,v10,24
L,v9,26
M,v1,29
M,v2,26
L,v5,41
M,v3,44
M,v5,36
M,v4,26
M,v6,25
M,v9,
M,v7,34
M,v8,19
