group,variable,value
A,v2,0
A,v3,3
A,v4,0
A,v5,1
A,v6,1
A,v8,0
A,v10,0
B,v1,0
B,v2,1
A,v7,0
B,v3,0
B,v5,1
B,v4,0
A,v9,0
B,v8,0
B,v9,0
B,v10,0
C,v1,0
B,v6,0
B,v7,1
C,v4,0
C,v2,0
C,v7,0
C,v6,0
C,v3,1
C,v8,0
C,v10,2
D,v1,1
D,v2,0
D,v3,0
D,v5,0
C,v9,0
D,v4,0
D,v7,0
D,v10,1
D,v6,0
D,v9,1
D,v8,0
E,v2,0
E,v1,1
E,v5,0
E,v3,1
E,v6,0
E,v7,2
E,v4,0
E,v8,0
E,v10,0
F,v1,0
E,v9,0
F,v2,4
F,v3,5
F,v5,0
F,v6,2
C,v5,0
F,v4,0
F,v8,1
F,v7,0
F,v10,0
G,v2,0
G,v3,1
G,v4,0
G,v5,1
G,v1,1
G,v6,0
G,v7,3
F,v9,1
G,v10,2
G,v9,1
H,v2,3
H,v1,1
H,v5,0
G,v8,0
H,v6,1
H,v4,2
H,v3,1
H,v7,0
H,v10,0
I,v1,0
I,v2,0
H,v9,0
I,v4,1
H,v8,0
I,v7,0
I,v3,0
I,v5,0
I,v9,2
I,v6,0
I,v10,0
I,v8,2
J,v2,0
J,v3,1
J,v4,1
J,v1,0
J,v6,0
J,v7,3
J,v8,0
J,v10,5
K,v1,4
K,v2,1
K,v3,1
K,v4,2
K,v6,0
K,v5,2
K,v7,1
K,v8,2
K,v10,3
J,v9,2
L,v1,0
J,v5,1
L,v3,2
L,v4,4
K,v9,1
L,v5,0
L,v2,0
L,v7,1
L,v9,1
L,v10,0
L,v6,0
M,v1,2
M,v2,3
M,v4,0
L,v8,0
M,v6,0
M,v7,3
M,v5,1
M,v8,3
M,v3,0
M,v10,0
M,v9,0
N,v4,0
N,v1,0
N,v2,0
N,v6,0
N,v5,0
N,v8,0
N,v7,1
N,v10,0
N,v9,1
N,v3,1
O,v2,3
O,v1,1
O,v3,2
O,v6,1
O,v5,0
O,v4,3
O,v9,0
O,v7,1
O,v10,2
P,v1,0
P,v2,0
P,v3,0
P,v4,0
P,v5,0
P,v6,5
P,v7,0
O,v8,0
P,v8,5
P,v9,2
R,v1,5
P,v10,6
R,v4,2
R,v6,1
R,v3,1
R,v8,0
R,v2,6
R,v7,0
R,v10,0
undefined,v1,0
R,v5,1
undefined,v2,1
undefined,v3,0
R,v9,0
undefined,v5,2
undefined,v6,3
undefined,v7,1
undefined,v9,5
undefined,v8,2
undefined,v10,1
undefined,v4,0
undefined,v3,0
undefined,v2,0
undefined,v1,0
undefined,v5,2
undefined,v4,1
undefined,v7,1
undefined,v6,1
undefined,v8,1
undefined,v9,4
undefined,v10,6
undefined,v2,1
undefined,v4,2
undefined,v3,0
undefined,v5,4
undefined,v6,6
undefined,v1,4
undefined,v7,0
undefined,v10,0
undefined,v8,0
undefined,v1,0
undefined,v2,2
undefined,v4,1
undefined,v9,2
undefined,v3,0
undefined,v5,1
undefined,v6,0
undefined,v7,
