group,variable,value
A,v1,2
A,v3,2
A,v2,5
A,v6,2
A,v5,0
A,v4,0
A,v9,0
A,v8,0
A,v10,0
B,v1,1
B,v2,0
B,v4,0
B,v5,1
B,v3,0
B,v6,0
B,v8,0
B,v7,1
B,v10,2
B,v9,1
C,v1,0
C,v3,0
C,v4,5
A,v7,0
C,v6,4
C,v2,0
C,v8,1
C,v9,1
C,v10,2
C,v5,1
D,v2,2
C,v7,1
D,v4,0
D,v5,0
D,v1,1
D,v3,0
D,v7,0
D,v9,1
E,v1,1
D,v10,1
D,v6,1
D,v8,0
E,v4,2
E,v7,1
E,v2,0
E,v6,1
E,v8,0
E,v9,0
E,v10,0
F,v1,0
E,v3,0
F,v2,1
E,v5,0
F,v3,0
F,v6,3
F,v7,2
F,v8,0
F,v10,0
F,v4,1
G,v2,0
F,v9,0
G,v1,1
G,v4,2
G,v5,3
G,v3,0
F,v5,2
G,v8,3
G,v7,2
G,v10,10
H,v1,5
H,v2,0
G,v9,2
H,v3,3
H,v5,0
G,v6,3
H,v7,0
H,v6,0
H,v4,1
H,v10,0
H,v8,1
H,v9,2
I,v2,0
I,v1,1
I,v3,
