group,variable,value
A,v1,0
A,v2,2
A,v5,2
A,v6,1
A,v7,3
A,v4,1
A,v8,1
A,v3,3
A,v10,2
A,v9,0
B,v3,1
B,v1,1
B,v5,3
B,v2,2
B,v7,0
B,v6,1
B,v8,1
B,v10,5
C,v1,3
C,v2,7
C,v4,0
B,v4,3
C,v5,2
C,v6,1
C,v7,2
C,v3,2
C,v9,0
C,v10,0
B,v9,0
C,v8,0
D,v1,2
D,v4,7
D,v5,7
D,v3,4
D,v7,5
D,v2,1
D,v8,4
D,v10,4
D,v9,4
E,v3,5
E,v2,2
E,v4,2
D,v6,4
E,v6,0
E,v1,7
E,v8,1
E,v7,1
E,v10,0
F,v1,0
F,v2,7
F,v3,0
E,v9,0
E,v5,2
F,v6,3
F,v5,1
F,v9,2
F,v8,1
F,v4,1
F,v10,6
G,v2,1
F,v7,2
G,v4,10
G,v1,9
G,v6,2
G,v7,2
G,v9,5
G,v5,8
G,v10,3
G,v3,5
H,v3,2
H,v1,2
G,v8,1
H,v2,0
H,v4,0
H,v5,0
H,v6,1
H,v9,0
H,v10,0
H,v8,2
I,v2,2
H,v7,1
I,v4,0
I,v1,0
I,v3,0
I,v5,
