group,variable,value
A,v1,1
A,v2,0
A,v3,0
A,v4,0
A,v6,0
A,v8,0
A,v9,3
A,v10,1
B,v1,2
A,v5,0
B,v4,1
B,v3,1
B,v5,1
A,v7,1
B,v7,0
B,v8,0
B,v2,0
B,v10,2
B,v9,1
C,v1,0
C,v3,0
C,v2,2
C,v4,2
B,v6,1
C,v7,0
C,v8,0
C,v6,0
C,v10,0
D,v1,1
C,v5,0
C,v9,0
D,v3,1
D,v5,0
D,v6,1
D,v8,0
D,v2,0
D,v7,3
D,v10,2
D,v4,2
E,v1,2
E,v3,1
E,v4,0
E,v2,0
E,v6,0
E,v7,0
E,v5,1
E,v8,1
E,v10,0
F,v1,0
D,v9,0
F,v3,0
F,v4,0
F,v2,0
E,v9,1
F,v5,1
F,v7,0
F,v9,0
F,v10,0
F,v8,0
F,v6,0
G,v1,1
G,v4,0
G,v2,0
G,v3,2
G,v7,3
G,v6,0
G,v5,0
G,v10,2
G,v9,2
G,v8,5
H,v2,0
H,v4,0
H,v5,0
H,v3,0
H,v6,0
H,v8,1
H,v9,1
H,v10,0
I,v1,0
H,v7,1
H,v1,0
I,v3,1
I,v2,2
I,v4,
