group,variable,value
A,v1,53
A,v3,32
A,v2,27
A,v4,26
A,v5,51
A,v6,36
A,v8,33
A,v7,64
A,v9,31
A,v10,29
B,v1,20
B,v4,24
B,v5,58
B,v2,27
B,v3,20
B,v8,37
B,v6,25
B,v10,27
C,v1,49
C,v2,28
B,v9,31
C,v3,74
C,v5,31
C,v6,84
B,v7,38
C,v7,17
C,v8,80
C,v9,144
D,v1,26
C,v10,14
D,v2,29
D,v4,30
C,v4,27
D,v6,37
D,v3,26
D,v8,34
D,v7,42
D,v9,31
D,v10,50
E,v1,19
E,v3,36
E,v2,35
E,v4,27
D,v5,31
E,v7,55
E,v6,39
E,v5,24
F,v1,31
E,v8,38
E,v10,32
F,v3,23
F,v4,35
F,v5,23
E,v9,32
F,v2,40
F,v7,37
F,v9,78
F,v10,48
G,v1,52
F,v8,52
F,v6,35
G,v3,32
G,v5,23
G,v6,33
G,v4,24
G,v9,53
G,v2,41
G,v10,29
H,v1,45
G,v8,37
H,v3,35
G,v7,29
H,v2,56
H,v6,28
H,v4,54
H,v5,26
H,v8,19
H,v10,29
H,v9,31
H,v7,19
I,v3,28
I,v2,28
I,v1,20
I,v6,50
I,v5,56
I,v8,21
I,v9,25
I,v10,52
I,v4,29
I,v7,73
J,v1,53
J,v2,28
J,v5,23
J,v3,32
J,v4,38
J,v8,30
J,v7,27
J,v9,27
J,v10,30
K,v2,27
K,v1,29
K,v4,24
K,v5,122
J,v6,20
K,v8,36
K,v7,90
K,v9,24
K,v10,27
L,v1,45
K,v3,38
K,v6,32
L,v4,20
L,v2,56
L,v6,30
L,v3,32
L,v7,27
L,v8,33
L,v10,82
M,v1,18
L,v5,44
M,v3,37
M,v2,36
M,v4,50
M,v5,30
L,v9,30
M,v6,78
M,v7,28
M,v8,
