group,variable,value
undefined,v9,28
undefined,v8,33
undefined,v1,45
undefined,v4,60
undefined,v2,33
undefined,v5,26
undefined,v6,21
undefined,v8,22
undefined,v7,36
undefined,v10,40
undefined,v3,21
undefined,v2,24
undefined,v1,29
undefined,v4,21
undefined,v3,22
undefined,v9,30
undefined,v5,40
undefined,v6,48
undefined,v7,
