group,variable,value
A,v1,0
A,v2,0
A,v4,0
A,v3,0
A,v5,2
A,v8,1
A,v7,1
A,v10,0
B,v1,0
B,v2,2
A,v9,4
A,v6,0
B,v4,0
B,v5,5
B,v7,0
B,v9,4
B,v6,1
B,v10,0
C,v1,1
C,v2,1
B,v8,0
C,v4,1
C,v5,2
C,v3,1
C,v6,1
C,v8,1
B,v3,1
C,v10,0
D,v1,1
D,v3,6
C,v7,2
C,v9,0
D,v5,0
D,v4,4
D,v6,2
D,v8,4
D,v7,0
D,v2,7
D,v10,2
D,v9,2
E,v3,1
E,v4,1
E,v1,1
E,v5,1
E,v6,0
E,v9,0
E,v10,2
E,v8,0
F,v1,1
E,v2,4
F,v2,0
F,v5,2
F,v4,2
F,v3,2
F,v6,4
F,v8,1
F,v9,3
F,v10,0
E,v7,0
G,v2,1
G,v3,2
F,v7,0
G,v4,2
G,v6,5
G,v7,5
G,v5,6
G,v8,1
G,v10,2
G,v9,8
H,v1,3
H,v3,2
H,v4,2
H,v2,6
G,v1,4
H,v5,0
H,v8,0
H,v9,3
H,v10,2
H,v6,0
I,v2,1
H,v7,0
I,v1,2
I,v3,8
I,v5,3
I,v4,2
I,v7,3
I,v8,0
I,v10,3
I,v6,4
J,v1,1
J,v3,1
I,v9,6
J,v2,1
J,v4,5
J,v8,2
J,v7,1
J,v6,2
J,v10,4
J,v9,0
K,v2,2
J,v5,6
K,v1,2
K,v3,0
K,v6,1
K,v4,1
K,v7,1
K,v5,1
K,v9,1
K,v10,3
L,v1,2
K,v8,0
L,v2,0
L,v5,0
L,v6,0
L,v4,2
L,v3,0
L,v8,0
L,v7,0
L,v10,0
M,v1,1
L,v9,4
M,v3,2
M,v2,0
M,v4,
