group,variable,value
A,v1,85
A,v4,40
A,v2,29
A,v5,18
A,v7,31
A,v8,28
A,v3,36
A,v10,21
A,v9,32
B,v2,26
B,v3,55
A,v6,37
B,v1,32
B,v5,20
B,v7,34
B,v6,53
B,v8,24
B,v10,35
C,v1,32
C,v2,49
C,v3,29
B,v9,38
C,v4,30
C,v6,22
B,v4,22
C,v7,38
C,v8,28
C,v10,22
C,v9,79
C,v5,43
D,v3,24
D,v4,30
D,v5,36
D,v2,23
D,v1,52
D,v8,30
D,v9,40
D,v10,25
D,v7,37
E,v3,41
E,v2,25
D,v6,32
E,v4,25
E,v7,36
E,v6,29
E,v5,29
E,v8,33
E,v10,74
F,v1,68
E,v9,20
E,v1,26
F,v4,39
F,v5,49
F,v3,31
F,v6,35
F,v8,36
F,v9,31
G,v1,39
F,v10,20
G,v2,49
G,v3,26
F,v7,54
G,v5,39
G,v6,30
G,v7,54
G,v4,33
F,v2,18
G,v10,28
G,v8,40
G,v9,38
H,v3,27
H,v4,24
H,v2,32
H,v7,28
H,v5,26
H,v6,29
H,v1,42
H,v10,16
I,v1,28
I,v2,21
H,v9,29
H,v8,22
I,v5,35
I,v6,36
I,v4,38
I,v7,37
I,v9,37
I,v8,20
I,v3,22
I,v10,21
J,v1,16
J,v4,56
J,v3,27
J,v2,29
J,v6,50
J,v5,24
J,v9,24
J,v8,25
J,v10,38
J,v7,19
K,v3,23
K,v2,30
K,v1,26
K,v6,38
K,v4,22
K,v5,37
K,v8,27
K,v9,25
K,v10,29
L,v1,22
L,v3,29
L,v2,21
K,v7,30
L,v4,25
L,v5,20
L,v7,24
L,v8,32
L,v6,24
L,v9,20
L,v10,21
M,v1,20
M,v2,
