group,variable,value
A,v1,1
A,v2,8
A,v5,5
A,v6,6
A,v3,3
A,v4,1
A,v9,1
A,v10,3
A,v8,1
A,v7,2
B,v3,0
B,v4,2
B,v5,0
B,v2,4
B,v7,0
B,v8,1
B,v9,1
B,v10,0
C,v1,3
C,v2,7
B,v1,3
B,v6,0
C,v6,7
C,v4,0
C,v5,1
C,v8,10
C,v9,10
C,v10,5
D,v1,1
D,v2,1
C,v3,3
C,v7,2
D,v3,1
D,v5,0
D,v7,1
D,v4,0
D,v6,0
D,v10,5
E,v1,4
E,v2,4
D,v9,0
E,v4,6
D,v8,3
E,v5,6
E,v6,4
E,v7,4
E,v9,5
F,v1,4
E,v10,2
F,v2,3
E,v3,5
E,v8,3
F,v3,0
F,v6,2
F,v4,3
F,v7,1
F,v5,2
F,v10,1
G,v1,1
G,v2,2
F,v9,2
G,v5,0
G,v4,0
F,v8,0
G,v6,2
G,v7,0
G,v9,3
G,v8,0
G,v10,2
H,v1,0
H,v2,0
G,v3,1
H,v5,2
H,v4,0
H,v3,0
H,v8,0
H,v9,5
H,v10,10
H,v6,2
I,v2,5
I,v3,1
H,v7,1
I,v1,5
I,v5,9
I,v4,3
I,v8,5
I,v7,1
I,v10,2
I,v6,7
J,v2,3
I,v9,3
J,v4,0
J,v1,1
J,v5,1
J,v3,0
J,v8,1
J,v6,1
J,v10,0
J,v7,1
J,v9,2
K,v3,0
K,v1,3
K,v4,1
K,v5,1
K,v7,1
K,v8,2
K,v9,1
K,v6,0
K,v10,1
L,v1,1
K,v2,1
L,v3,3
L,v2,0
L,v5,6
L,v4,1
L,v6,
