group,variable,value
A,v3,22
A,v2,27
A,v4,30
A,v5,52
A,v7,30
A,v9,17
A,v10,21
A,v6,25
A,v8,25
B,v1,26
B,v3,27
B,v6,42
B,v7,32
B,v4,72
B,v2,29
B,v9,32
B,v10,23
C,v2,21
B,v8,41
C,v4,16
C,v3,33
C,v1,18
B,v5,23
C,v5,19
C,v8,21
C,v9,20
C,v10,42
C,v7,33
D,v2,44
D,v3,46
D,v1,46
D,v4,40
D,v6,28
D,v7,51
C,v6,18
D,v9,29
D,v10,29
D,v8,31
E,v1,58
E,v2,50
E,v4,31
E,v5,38
E,v6,29
D,v5,30
E,v8,33
E,v7,40
E,v10,22
F,v2,36
E,v3,35
E,v9,23
F,v4,37
F,v3,32
F,v6,31
F,v1,29
F,v7,31
F,v9,23
F,v10,36
G,v1,26
F,v8,41
G,v2,40
G,v4,44
G,v5,31
G,v6,42
F,v5,32
G,v7,35
G,v9,58
G,v10,22
G,v8,82
H,v1,27
H,v2,34
G,v3,18
H,v4,23
H,v6,41
H,v5,47
H,v8,23
H,v3,42
H,v10,38
I,v1,68
H,v9,20
I,v3,46
H,v7,38
I,v4,43
I,v5,25
I,v7,37
I,v2,48
I,v6,30
I,v10,38
I,v8,30
I,v9,26
J,v2,48
J,v1,49
J,v4,24
J,v3,40
J,v5,36
J,v6,29
J,v9,32
J,v7,20
K,v1,33
J,v8,28
J,v10,31
K,v4,48
K,v3,50
K,v2,42
K,v5,67
K,v8,25
K,v6,76
K,v10,43
K,v7,31
K,v9,70
L,v1,60
L,v3,46
L,v4,54
L,v2,39
L,v6,78
L,v8,54
L,v5,29
L,v7,33
L,v10,23
L,v9,39
M,v1,31
M,v2,
