group,variable,value
A,v1,32
A,v2,31
A,v3,30
A,v5,21
A,v4,30
A,v6,28
A,v7,33
A,v9,44
A,v10,28
A,v8,44
B,v2,32
B,v4,23
B,v1,28
B,v6,38
B,v7,50
B,v8,27
B,v9,24
B,v10,36
C,v1,31
C,v2,20
B,v5,35
B,v3,29
C,v3,42
C,v6,19
C,v7,47
C,v5,28
C,v4,23
C,v10,29
D,v1,22
D,v2,21
D,v3,27
C,v8,28
C,v9,35
D,v6,57
D,v5,22
D,v8,28
D,v4,33
D,v9,28
D,v10,31
E,v2,34
E,v3,27
D,v7,38
E,v7,30
E,v4,31
E,v6,29
E,v8,29
E,v5,21
F,v1,21
E,v10,24
E,v9,20
E,v1,30
F,v4,44
F,v2,40
F,v5,56
F,v3,51
F,v8,24
F,v6,41
F,v10,105
F,v7,77
G,v1,41
G,v2,36
F,v9,34
G,v3,30
G,v6,32
G,v7,26
G,v8,40
G,v4,23
G,v10,27
H,v1,80
G,v9,44
H,v2,64
G,v5,48
H,v3,27
H,v6,36
H,v7,52
H,v4,28
H,v5,45
H,v10,36
I,v1,50
I,v2,47
H,v8,36
I,v3,38
H,v9,32
I,v6,27
I,v7,41
I,v4,26
I,v5,66
I,v8,29
I,v9,33
I,v10,27
J,v1,30
J,v3,26
J,v5,23
J,v4,28
J,v6,36
J,v8,27
J,v7,51
J,v10,33
J,v2,16
K,v2,33
J,v9,33
K,v3,26
K,v1,28
K,v4,31
K,v5,27
K,v6,28
K,v9,33
K,v7,27
K,v8,38
K,v10,34
L,v2,44
L,v3,30
L,v4,121
L,v6,36
L,v5,36
L,v8,34
L,v1,29
L,v7,27
L,v9,54
L,v10,23
M,v1,43
M,v4,31
M,v5,31
M,v2,21
M,v3,36
M,v7,85
M,v6,53
M,v10,23
M,v8,32
M,v9,27
N,v3,34
N,v6,53
N,v1,41
N,v4,35
N,v2,40
N,v8,29
N,v7,31
N,v10,48
N,v5,37
O,v1,26
O,v3,22
O,v2,42
O,v4,24
N,v9,27
O,v6,46
O,v5,47
O,v9,27
O,v7,48
O,v8,33
O,v10,30
P,v1,27
P,v3,31
P,v6,29
P,v2,24
P,v5,19
P,v4,32
P,v10,21
P,v9,20
P,v7,26
P,v8,29
R,v1,22
R,v3,21
R,v4,26
R,v5,22
R,v7,17
R,v2,38
R,v9,32
R,v6,18
R,v10,38
undefined,v1,38
undefined,v2,40
undefined,v3,53
undefined,v5,42
undefined,v6,30
undefined,v7,22
R,v8,24
undefined,v4,26
undefined,v10,22
undefined,v1,31
undefined,v8,31
undefined,v2,27
undefined,v9,17
undefined,v3,38
undefined,v5,
undefined,v4,21
