group,variable,value
A,v1,0
A,v2,0
A,v5,0
A,v3,0
A,v4,3
A,v8,2
A,v9,0
A,v10,0
A,v7,2
A,v6,1
B,v3,1
B,v4,1
B,v1,0
B,v5,2
B,v7,0
B,v8,1
B,v2,1
B,v10,1
C,v1,1
C,v2,1
B,v6,3
C,v4,0
B,v9,0
C,v6,0
C,v3,2
C,v5,1
C,v10,1
C,v8,0
C,v7,0
C,v9,2
D,v1,1
D,v2,1
D,v6,1
D,v4,2
D,v5,1
D,v3,1
D,v8,2
D,v7,0
D,v10,1
E,v4,1
E,v3,0
E,v1,0
E,v5,0
E,v6,4
D,v9,0
E,v2,4
E,v9,0
E,v10,1
E,v7,1
E,v8,0
F,v3,0
F,v2,0
F,v1,1
F,v7,0
F,v5,0
F,v6,0
F,v4,0
F,v10,0
G,v1,0
G,v2,0
F,v9,1
F,v8,0
G,v4,2
G,v6,0
G,v5,0
G,v7,0
G,v9,2
G,v10,0
G,v3,0
G,v8,0
H,v3,1
H,v5,0
H,v1,0
H,v2,0
H,v4,1
H,v6,1
H,v9,
H,v8,1
H,v7,1
