group,variable,value
A,v1,48
A,v3,26
A,v2,29
A,v5,24
A,v7,27
A,v8,42
A,v6,20
A,v10,32
B,v1,53
A,v9,24
B,v3,40
A,v4,49
B,v5,31
B,v6,21
B,v7,24
B,v8,31
B,v2,40
B,v10,52
C,v1,23
B,v4,46
C,v2,24
C,v4,37
C,v5,23
B,v9,25
C,v3,19
C,v8,39
C,v9,36
C,v10,15
C,v6,28
D,v2,29
D,v3,30
D,v4,103
D,v1,27
D,v6,23
D,v5,22
D,v8,26
D,v9,21
D,v10,50
C,v7,23
E,v2,22
E,v4,28
E,v3,34
D,v7,27
E,v6,17
E,v8,25
E,v7,23
E,v1,24
E,v10,33
E,v9,33
F,v2,26
E,v5,40
F,v1,60
F,v5,28
F,v6,24
F,v3,25
F,v4,31
F,v10,33
F,v9,29
G,v2,27
F,v8,33
G,v1,25
G,v4,26
F,v7,41
G,v3,15
G,v6,27
G,v8,25
G,v5,68
G,v10,22
G,v9,24
H,v3,28
H,v1,68
H,v2,33
G,v7,34
H,v6,25
H,v5,46
H,v4,27
H,v8,20
H,v9,
H,v7,37
