group,variable,value
A,v2,34
A,v3,26
A,v1,26
A,v6,21
A,v5,25
A,v7,28
A,v9,34
A,v10,20
A,v4,22
A,v8,26
B,v1,19
B,v4,43
B,v5,25
B,v7,31
B,v3,34
B,v8,20
B,v6,32
B,v9,23
B,v10,20
B,v2,26
C,v3,21
C,v4,34
C,v2,20
C,v5,17
C,v1,22
C,v7,30
C,v6,14
C,v10,27
C,v8,17
D,v2,30
C,v9,21
D,v4,30
D,v1,24
D,v6,17
D,v7,40
D,v5,30
D,v3,36
D,v10,26
E,v1,20
E,v2,27
D,v9,18
E,v4,23
E,v5,45
E,v6,17
E,v3,16
E,v7,23
D,v8,21
E,v10,25
F,v1,22
E,v9,15
F,v2,29
F,v3,28
F,v5,31
F,v4,23
E,v8,20
F,v9,23
F,v6,19
F,v10,21
F,v7,29
G,v1,14
G,v2,28
G,v4,35
G,v5,19
G,v3,38
F,v8,26
G,v8,20
G,v9,42
G,v10,22
G,v6,20
H,v2,17
H,v1,22
H,v3,17
H,v5,30
H,v6,21
H,v4,24
H,v7,32
H,v8,31
H,v10,37
G,v7,25
I,v2,29
I,v1,32
I,v4,34
H,v9,23
I,v3,21
I,v5,68
I,v7,27
I,v8,
I,v6,36
