group,variable,value
A,v2,19
A,v1,37
A,v3,24
A,v5,20
A,v4,27
A,v6,28
A,v7,8
A,v9,26
A,v10,48
B,v2,27
A,v8,51
B,v4,28
B,v6,36
B,v5,21
B,v3,25
B,v7,30
B,v9,44
B,v10,24
B,v8,36
C,v1,28
C,v2,26
C,v3,23
C,v5,24
C,v6,20
B,v1,20
C,v7,28
C,v4,22
C,v10,20
D,v1,22
D,v2,22
D,v3,36
C,v9,39
D,v4,29
D,v6,30
D,v7,33
D,v9,28
D,v8,24
D,v10,24
E,v1,37
E,v2,20
D,v5,26
E,v3,24
E,v5,35
C,v8,32
E,v6,29
E,v8,46
E,v9,36
E,v10,22
E,v7,32
F,v2,31
F,v3,53
F,v1,25
E,v4,19
F,v4,19
F,v6,23
F,v7,34
F,v8,21
F,v10,29
G,v1,22
F,v9,40
G,v4,21
G,v2,27
F,v5,24
G,v5,24
G,v8,70
G,v7,42
G,v6,23
G,v10,39
G,v3,24
H,v2,27
H,v3,27
H,v4,35
H,v1,47
G,v9,32
H,v7,28
H,v6,22
H,v5,23
H,v10,33
H,v8,22
I,v2,24
I,v3,41
H,v9,29
I,v1,60
I,v6,28
I,v7,28
I,v5,20
I,v8,55
I,v9,22
I,v4,27
J,v1,30
I,v10,33
J,v2,25
J,v4,39
J,v5,42
J,v3,26
J,v8,26
J,v7,26
J,v6,26
J,v9,22
J,v10,38
K,v1,
