group,variable,value
A,v1,47
A,v3,110
A,v2,54
A,v4,33
A,v5,24
A,v6,21
A,v9,27
A,v8,31
A,v10,31
B,v2,19
B,v3,35
B,v4,24
A,v7,39
B,v5,26
B,v6,22
B,v8,68
B,v9,66
B,v10,27
B,v1,32
B,v7,50
C,v3,48
C,v4,44
C,v2,28
C,v1,23
C,v7,27
C,v5,37
C,v6,24
C,v10,40
D,v1,17
C,v8,27
D,v2,25
D,v4,27
C,v9,26
D,v5,54
D,v7,67
D,v8,22
D,v3,33
D,v10,27
E,v1,23
E,v2,39
E,v3,29
D,v6,27
E,v4,29
E,v6,26
E,v7,23
E,v8,21
E,v5,70
E,v10,34
E,v9,38
D,v9,34
F,v1,17
F,v4,38
F,v5,46
F,v2,30
F,v6,27
F,v8,39
F,v9,25
F,v10,26
G,v2,17
F,v7,38
G,v1,33
G,v4,32
G,v6,25
F,v3,25
G,v7,39
G,v3,24
G,v5,22
G,v10,38
H,v1,41
H,v2,29
G,v9,23
H,v3,20
H,v5,28
H,v4,25
H,v6,34
H,v8,30
H,v9,23
H,v10,23
H,v7,34
I,v2,22
I,v3,23
I,v1,20
I,v4,30
I,v6,33
I,v8,18
I,v5,22
I,v9,24
I,v10,24
G,v8,49
I,v7,31
J,v2,27
J,v1,24
J,v5,18
J,v4,27
J,v3,40
J,v7,78
J,v8,32
J,v9,24
K,v1,50
J,v10,108
K,v2,47
K,v3,35
K,v4,32
J,v6,29
K,v6,33
K,v5,35
K,v8,30
K,v7,24
L,v1,
K,v9,45
K,v10,17
