group,variable,value
A,v1,30
A,v2,52
A,v4,40
A,v6,37
A,v3,34
A,v7,26
A,v10,30
A,v8,28
A,v9,53
B,v2,43
B,v3,30
A,v5,25
B,v4,29
B,v5,19
B,v7,32
B,v6,62
B,v8,66
B,v10,19
C,v1,29
B,v9,24
C,v2,49
B,v1,28
C,v5,20
C,v4,29
C,v3,38
C,v9,32
C,v7,30
C,v10,34
D,v1,79
D,v2,44
C,v6,20
C,v8,35
D,v5,53
D,v6,18
D,v3,41
D,v8,24
D,v7,42
D,v10,23
D,v4,38
E,v2,18
E,v3,21
E,v4,22
D,v9,27
E,v5,30
E,v7,36
E,v8,23
E,v1,52
E,v10,20
E,v9,52
F,v1,41
F,v3,38
E,v6,32
F,v2,20
F,v6,42
F,v4,38
F,v8,30
F,v9,25
F,v10,24
F,v5,32
F,v7,24
G,v3,27
G,v1,30
G,v4,27
G,v6,24
G,v5,51
G,v7,39
G,v9,34
G,v10,56
G,v8,52
G,v2,43
H,v1,21
H,v2,25
H,v3,44
H,v6,57
H,v7,29
H,v10,29
H,v5,27
H,v9,26
I,v1,24
H,v4,19
I,v2,25
I,v4,54
I,v3,52
I,v5,45
I,v8,34
I,v7,25
H,v8,9
I,v9,31
J,v2,18
I,v10,24
J,v1,22
I,v6,36
J,v3,24
J,v5,31
J,v4,59
J,v6,
