group,variable,value
A,v2,0
A,v3,0
A,v6,8
A,v7,2
A,v8,4
A,v5,7
A,v10,5
B,v1,0
B,v2,2
A,v4,3
B,v4,8
B,v5,5
A,v9,2
B,v7,1
B,v6,1
B,v8,3
B,v9,0
B,v10,2
B,v3,6
C,v1,1
C,v3,0
C,v5,0
C,v6,1
C,v4,0
C,v7,1
C,v2,2
C,v9,0
C,v10,0
D,v1,0
D,v2,0
D,v3,0
D,v5,0
D,v6,0
C,v8,1
D,v7,2
D,v9,0
D,v4,0
D,v10,0
E,v2,0
E,v4,6
D,v8,1
E,v6,2
E,v1,0
E,v7,1
E,v8,0
E,v5,5
E,v10,0
E,v3,5
F,v2,0
E,v9,0
F,v1,1
F,v3,1
F,v6,1
F,v7,2
F,v4,0
F,v5,1
F,v10,6
G,v1,8
G,v2,3
G,v3,2
F,v8,1
G,v5,1
G,v6,1
G,v4,5
G,v8,1
G,v9,1
G,v10,2
G,v7,2
F,v9,3
H,v3,3
H,v1,0
H,v2,1
H,v5,
H,v4,0
