group,variable,value
A,v1,32
A,v3,31
A,v4,28
A,v5,55
A,v6,34
A,v8,29
A,v7,17
A,v10,35
B,v1,12
B,v2,26
B,v3,30
A,v9,27
A,v2,31
B,v6,22
B,v7,26
B,v8,19
B,v4,25
B,v10,23
B,v5,28
C,v1,18
C,v3,48
B,v9,28
C,v4,24
C,v7,28
C,v2,30
C,v5,22
C,v9,34
C,v10,33
C,v6,37
D,v1,23
D,v2,28
D,v3,25
C,v8,20
D,v4,29
D,v5,27
D,v9,28
D,v8,17
D,v10,24
E,v1,33
E,v2,22
E,v4,29
D,v6,23
E,v3,33
E,v6,28
D,v7,40
E,v7,19
E,v5,30
E,v10,51
F,v1,20
E,v8,26
F,v3,27
F,v4,26
F,v5,38
E,v9,76
F,v2,32
F,v8,29
F,v9,51
F,v10,21
G,v3,24
G,v2,23
F,v7,36
F,v6,18
G,v4,20
G,v5,22
G,v7,41
G,v8,22
G,v1,27
G,v10,28
G,v9,29
G,v6,24
H,v3,22
H,v4,22
H,v1,48
H,v5,51
H,v6,18
H,v8,18
H,v9,33
H,v10,31
I,v1,23
I,v2,20
I,v3,19
H,v2,20
H,v7,16
I,v6,26
I,v4,42
I,v8,77
I,v9,38
I,v5,53
I,v7,24
J,v1,25
I,v10,31
J,v4,26
J,v3,22
J,v6,22
J,v5,30
J,v7,23
J,v8,30
J,v10,45
J,v9,28
K,v2,22
J,v2,22
K,v3,37
K,v5,25
K,v4,25
K,v6,28
K,v7,31
K,v1,18
K,v9,38
K,v10,31
L,v1,26
L,v3,58
K,v8,42
L,v5,27
L,v2,15
L,v4,30
L,v8,26
L,v7,32
L,v10,22
L,v6,16
M,v1,32
M,v3,50
M,v4,29
M,v5,29
L,v9,28
M,v7,40
M,v2,35
M,v9,27
M,v8,23
M,v10,22
N,v1,27
M,v6,33
N,v4,32
N,v3,28
N,v2,22
N,v5,26
N,v7,24
N,v6,31
N,v8,24
N,v10,33
O,v1,35
N,v9,24
O,v4,17
O,v3,20
O,v5,35
O,v2,26
O,v6,32
O,v7,36
O,v10,32
O,v8,20
P,v1,30
O,v9,20
P,v3,22
P,v2,28
P,v4,
