group,variable,value
A,v1,38
A,v2,40
A,v5,24
A,v4,20
A,v3,31
A,v6,44
A,v7,36
B,v1,28
A,v10,30
A,v8,18
A,v9,27
B,v5,73
B,v2,26
B,v3,21
B,v4,54
B,v6,22
B,v9,22
B,v10,22
B,v8,16
B,v7,14
C,v1,28
C,v2,33
C,v4,23
C,v6,21
C,v7,36
C,v3,42
C,v5,24
C,v10,32
D,v1,36
D,v2,23
C,v9,35
D,v4,26
D,v5,21
D,v6,27
C,v8,21
D,v7,36
D,v9,21
E,v1,39
D,v10,25
D,v3,16
E,v3,26
E,v4,23
E,v2,28
E,v5,21
E,v6,31
E,v8,30
E,v10,25
E,v7,23
F,v1,26
F,v2,63
E,v9,22
F,v3,24
D,v8,35
F,v6,145
F,v7,21
F,v8,36
F,v4,27
F,v10,41
F,v5,15
F,v9,23
G,v3,20
G,v1,22
G,v4,34
G,v6,23
G,v8,16
G,v2,35
G,v5,28
G,v10,20
G,v7,21
H,v1,18
H,v3,48
H,v2,33
H,v4,19
H,v5,24
H,v8,22
H,v7,21
G,v9,30
H,v10,18
I,v1,24
I,v2,20
H,v6,21
H,v9,28
I,v5,32
I,v6,36
I,v4,35
I,v7,23
I,v8,18
I,v3,49
I,v9,29
J,v1,23
I,v10,27
J,v4,35
J,v3,37
J,v2,31
J,v6,29
J,v7,26
J,v8,21
J,v9,21
J,v10,25
K,v2,20
K,v3,26
K,v4,26
K,v1,26
K,v5,32
K,v7,32
K,v9,38
J,v5,46
K,v10,41
K,v6,20
K,v8,28
L,v1,21
L,v4,36
L,v2,32
L,v5,52
L,v6,27
L,v3,24
L,v7,14
L,v8,
