group,variable,value
A,v1,27
A,v2,37
A,v3,39
A,v4,24
A,v5,38
A,v6,43
A,v7,20
B,v1,29
B,v2,25
A,v10,31
A,v8,43
A,v9,49
B,v3,21
B,v7,33
B,v6,14
B,v4,24
B,v5,27
B,v10,32
C,v1,18
C,v2,18
B,v9,26
B,v8,18
C,v5,28
C,v3,26
C,v4,20
C,v6,32
C,v7,48
C,v8,26
C,v10,28
D,v2,35
D,v1,26
C,v9,31
D,v4,29
D,v3,21
D,v7,31
D,v8,59
D,v9,110
D,v6,27
D,v10,32
E,v1,27
E,v3,133
E,v2,4
E,v4,22
D,v5,42
E,v7,26
E,v8,17
E,v5,21
E,v10,36
E,v6,43
F,v2,33
E,v9,32
F,v3,22
F,v1,22
F,v5,17
F,v7,21
F,v8,25
F,v6,22
F,v10,22
F,v4,22
G,v2,26
F,v9,27
G,v4,23
G,v6,32
G,v5,38
G,v3,27
G,v1,16
G,v9,31
G,v10,38
H,v1,49
H,v2,34
G,v8,44
G,v7,20
H,v4,28
H,v6,25
H,v5,19
H,v8,34
H,v3,35
H,v9,22
H,v10,43
I,v1,28
H,v7,33
I,v2,72
I,v4,28
I,v5,
I,v3,31
