group,variable,value
A,v1,0
A,v2,3
A,v3,0
A,v5,6
A,v4,1
A,v6,1
A,v9,2
B,v1,1
A,v10,2
B,v2,0
B,v3,2
A,v7,0
A,v8,1
B,v4,0
B,v8,2
B,v6,3
B,v9,0
B,v10,1
C,v1,1
C,v2,0
B,v7,0
B,v5,0
C,v5,0
C,v6,1
C,v3,4
C,v7,4
C,v8,1
C,v10,1
D,v1,0
D,v2,4
C,v4,3
D,v3,3
D,v4,4
D,v6,0
D,v5,0
D,v8,2
D,v9,1
C,v9,0
D,v10,0
E,v2,0
E,v4,1
E,v5,1
E,v3,0
E,v1,1
D,v7,0
E,v8,0
E,v10,2
E,v6,0
E,v7,0
F,v2,0
F,v3,0
E,v9,1
F,v1,1
F,v6,5
F,v7,0
F,v4,0
F,v9,1
F,v10,0
G,v1,2
F,v8,1
F,v5,7
G,v4,0
G,v5,1
G,v2,2
G,v7,0
G,v3,0
G,v10,3
G,v9,0
G,v8,0
H,v2,0
H,v1,1
G,v6,0
H,v5,0
H,v6,2
H,v4,1
H,v3,2
H,v10,1
H,v8,0
I,v1,1
I,v2,2
I,v3,4
H,v9,0
H,v7,0
I,v5,1
I,v4,0
I,v7,1
I,v6,1
I,v9,0
I,v10,1
J,v1,0
J,v2,0
J,v4,1
I,v8,1
J,v3,0
J,v5,1
J,v6,0
J,v8,3
J,v9,1
K,v1,5
J,v10,3
K,v3,1
K,v2,2
K,v5,0
K,v4,0
K,v7,1
J,v7,0
K,v9,4
K,v6,3
K,v8,3
K,v10,4
L,v1,1
L,v4,0
L,v3,0
L,v6,1
L,v2,0
L,v5,0
L,v7,1
L,v8,1
L,v9,
